vin,create_time,start_lat,start_lon,end_lat,end_lon
HLX32B147R1451626,2025-05-17 02:08:21.549,40.10554305555556,116.548315,40.127564,116.278841
HLX32B147R1451626,2025-05-17 03:07:45.689,40.128405,116.27907277777778,40.097347,116.291676
HLX32B147R1451626,2025-05-17 05:42:13.740,40.09673694444445,116.29146888888889,40.13177,116.299628
HLX32B147R1451626,2025-05-17 07:34:19.704,40.127975,116.30290111111113,40.127564,116.278841
HLX32B147R1451626,2025-05-17 07:42:22.692,40.128458333333334,116.27953638888889,40.108826,116.548368
HLX32B147R1451626,2025-05-19 11:03:58.503,40.17288111111111,116.57778111111112,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-05-20 00:20:16.582,40.10554388888889,116.54826305555557,40.171595,116.579427
HLX32B147R1451626,2025-05-20 11:30:28.008,40.172578055555554,116.578435,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-05-21 00:16:41.074,40.10548861111111,116.54827388888889,40.171595,116.579427
HLX32B147R1451626,2025-05-21 10:48:10.417,40.172445,116.57801888888888,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-05-21 23:36:38.525,40.105623055555554,116.54886388888887,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-05-22 12:11:36.616,39.99040888888889,116.48264194444444,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-05-22 23:55:55.775,40.10558,116.54887388888888,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-05-23 12:02:22.494,39.99040888888889,116.4826411111111,40.108826,116.548368
HLX32B147R1451626,2025-05-25 14:39:19.677,40.10888111111111,116.5475388888889,40.098186,116.5547
HLX32B147R1451626,2025-05-25 15:28:50.340,40.09842611111111,116.55485194444444,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-05-25 23:40:33.575,40.10557,116.54837305555556,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-05-26 12:34:57.915,39.99033694444445,116.48256,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-05-26 23:42:26.213,40.10550611111111,116.54835111111112,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-05-26 23:44:14.513,40.10503583333333,116.53740472222222,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-05-26 23:54:41.563,40.09490777777778,116.49420333333332,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-05-27 12:14:24.937,39.990338888888886,116.48255805555556,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-05-27 23:40:10.445,40.10548638888889,116.548265,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-05-28 12:07:52.614,39.99033611111111,116.48255888888887,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-05-28 12:19:10.303,40.0060975,116.50659888888887,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-05-28 12:34:08.656,40.05721138888889,116.57113666666666,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-05-28 23:38:51.167,40.10550027777778,116.5483263888889,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-05-29 12:27:20.501,39.99033694444445,116.48255694444444,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-05-29 23:37:02.585,40.105485,116.54825833333334,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-06-03 12:13:00.224,39.99033611111111,116.48255388888887,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-06-03 23:21:55.767,40.10550027777778,116.54832611111112,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-06-04 12:13:38.474,39.990338888888886,116.48256111111112,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-06-04 23:34:20.556,40.10547055555555,116.54819527777778,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-06-05 12:12:36.336,39.990338888888886,116.48256,40.098186,116.5547
HLX32B147R1451626,2025-06-05 13:30:35.283,40.098728333333334,116.5546675,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-06-05 23:38:42.432,40.10556,116.54833222222224,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-06-06 11:58:47.379,39.99032305555556,116.48254388888888,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-06-07 08:25:14.451,40.10550444444444,116.54834361111112,40.088762,116.546411
HLX32B147R1451626,2025-06-07 10:29:03.802,40.089591666666664,116.54486333333334,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-06-07 16:02:37.328,40.105516944444446,116.54815111111112,40.1089029070527,116.56174421310423
HLX32B147R1451626,2025-06-07 16:13:39.550,40.10883361111111,116.56164916666668,40.108826,116.548368
HLX32B147R1451626,2025-06-08 23:34:27.246,40.10550388888889,116.54834166666669,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-06-09 12:36:11.646,39.99005388888889,116.48244111111111,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-06-09 23:39:18.578,40.105558888888886,116.54833388888888,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-06-10 12:09:14.043,39.990105,116.48250888888889,40.098186,116.5547
HLX32B147R1451626,2025-06-10 13:46:00.755,40.098371944444445,116.55481777777776,40.10572314630653,116.5488427877426
HLX32B147R1451626,2025-06-10 23:35:18.987,40.105486666666664,116.54826638888888,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-06-10 23:37:11.102,40.105486666666664,116.54826638888888,39.99085071002204,116.48129135370252
HLX32B147R1451626,2025-06-11 12:14:26.947,39.99012388888889,116.48252388888888,40.10572314630653,116.5488427877426
